Name,Line,Sentiment,Irony,Hate,Intimacy,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
DOROTHY,"She isn't coming yet, Toto. Did she hurt
          you? She tried to, didn't she? Come on -
          - we'll go tell Uncle Henry and Auntie
          Em. Come on, Toto.

LS -- Farm yard -- Dorothy enters left b.g. along road --
Toto following her -- CAMERA PANS right -- she comes forward
thru gate -- runs forward to Aunt Em and Uncle Henry working
at Incubator --",0.0952380952380952,[ 1.1125647  -0.84546864],[ 1.2359352 -1.3398365],0.0911941528320312,-6.793299198150635,-6.6982316970825195,-5.905908584594727,-4.1647491455078125,-4.611433506011963,-5.526949405670166,-1.4166027307510376,-1.6302393674850464,-7.106457233428955,-4.151783466339111,-4.023307800292969,-6.918789863586426,-6.708899021148682,-7.109248638153076,-6.0978569984436035,-8.320706367492676,-7.340145587921143,-7.225973129272461,-7.423711776733398,-6.403473854064941,-5.476356506347656,-9.373095512390137,-4.722652435302734,-8.041751861572266,-7.294007301330566,-4.917751789093018,-5.625038146972656,0.9264058470726013
DOROTHY (CONT'D),"Aunt Em!   Aunt Em!

MS -- Aunt Em and Uncle Henry working with baby chicks in
incubator -- Dorothy runs in -- speaks to them -- Dorothy
picks up baby chick -- CAMERA TRUCKS back as Aunt Em and
Dorothy come forward -- Aunt Em puts chick in coop with hen --
then TRUCKS forward as they go to b.g. to incubator --
Dorothy reacts -- Uncle Henry looks at her -- CAMERA PANS her
to left across yard --",0.0,[ 0.43872648 -0.23972371],[ 0.96971804 -1.111279  ],0.0969858765602111,-5.747870445251465,-5.672364234924316,-5.586601257324219,-4.999078273773193,-4.619630336761475,-6.343913555145264,-6.0836992263793945,-6.394660949707031,-6.5463690757751465,-5.696732997894287,-5.870083332061768,-6.0014119148254395,-6.9337477684021,-5.654585361480713,-6.072729587554932,-6.809359550476074,-7.2736735343933105,-5.686528205871582,-6.377620697021484,-7.486111640930176,-6.173733234405518,-7.555424213409424,-5.257159233093262,-7.656022548675537,-7.447208404541016,-5.734344959259033,-6.564269065856934,3.4733493328094482
DOROTHY (CONT'D),Aunt Em!,0.0,[ 1.4510058  -0.45658934],[ 1.6580225 -1.6799475],0.0915218591690063,-5.237763404846191,-5.726441860198975,-5.581401824951172,-5.416513919830322,-4.439324378967285,-6.402707099914551,-6.469155311584473,-6.392891883850098,-6.401519298553467,-6.112971782684326,-6.487460613250732,-6.103816986083984,-7.116163730621338,-4.506321907043457,-6.263246059417725,-6.352992534637451,-7.199741840362549,-4.749011993408203,-4.682868003845215,-7.684179782867432,-6.4805121421813965,-7.164234161376953,-5.518132209777832,-7.461538314819336,-7.482680320739746,-5.863708972930908,-6.141402244567871,2.7342329025268555
AUNT EM,"Fifty-seven, fifty-eight --",0.0,[ 1.225698  -0.5390199],[ 1.5247706 -1.5199755],0.0824443399906158,-6.137750625610352,-6.0568132400512695,-6.034453868865967,-5.170013427734375,-4.3377790451049805,-6.6555633544921875,-5.522981643676758,-6.133122444152832,-6.695931434631348,-5.832159042358398,-5.894338130950928,-6.466857433319092,-7.274842739105225,-5.783998012542725,-6.346183776855469,-6.754164695739746,-7.620941638946533,-5.8269524574279785,-6.591617107391357,-7.549456596374512,-5.817996978759766,-7.836426734924316,-4.771728992462158,-7.657756328582764,-7.830197811126709,-6.160115718841553,-6.521259784698486,3.4605798721313477
DOROTHY,"Just listen to what Miss Gulch did to
          Toto! She --",0.0,[-0.18052705  0.4408944 ],[ 0.9594101  -0.99721587],0.09094899892807,-5.168595314025879,-5.239344596862793,-6.016931533813477,-5.016571044921875,-4.168259620666504,-6.478396892547607,-6.3751702308654785,-5.323383331298828,-6.653875827789307,-6.457810878753662,-6.897562026977539,-6.388026237487793,-7.320659160614014,-4.774686336517334,-6.720620155334473,-7.546921253204346,-8.08040714263916,-5.618492603302002,-6.515240669250488,-7.971835136413574,-6.169347286224365,-7.661103248596191,-5.642925262451172,-7.8888702392578125,-8.138419151306152,-6.846558094024658,-6.116365432739258,2.7140121459960938
AUNT EM,"Dorothy, please! We're trying to count!
          Fifty-eight--",0.0,[ 0.78768164 -0.33111763],[ 1.9674572 -2.017412 ],0.0896589756011962,-6.292884826660156,-5.980946063995361,-6.362094402313232,-5.044641017913818,-3.6105332374572754,-6.252116680145264,-5.200234889984131,-4.423276901245117,-5.657352924346924,-6.577206611633301,-6.673895359039307,-6.986214637756348,-7.62339973449707,-4.2141642570495605,-6.730340957641602,-7.259921073913574,-8.036112785339355,-5.223616600036621,-6.777472972869873,-7.448688507080078,-5.834677696228027,-7.821559906005859,-5.033576011657715,-7.253783226013184,-8.327521324157715,-6.791247844696045,-5.856117248535156,2.2011289596557617
DOROTHY,"Oh, but Aunt Em, she hit him over the --",0.0,[ 0.76046675 -0.20865461],[ 1.0218707 -1.0114766],0.1096398830413818,-6.211214542388916,-5.624547481536865,-5.554582118988037,-4.007315635681152,-4.300584316253662,-6.151848793029785,-6.915550231933594,-7.342319488525391,-6.70214319229126,-2.7540183067321777,-5.156668186187744,-5.7044148445129395,-5.251430988311768,-6.5952534675598145,-5.606821537017822,-7.388987064361572,-5.391923427581787,-5.069144248962402,-6.396949291229248,-5.94187593460083,-6.1552910804748535,-6.9072160720825195,-3.2054262161254883,-5.738343238830566,-5.504805564880371,-1.8956093788146973,-5.877476692199707,1.5224804878234863
UNCLE HENRY,"Don't bother us now, honey -- this old
             incubator's gone bad, and we're likely to
             lose a lot of our chicks.",-0.1999999999999999,[ 0.4973808 -0.267757 ],[ 0.04326642 -0.09898725],0.1160868406295776,-6.631026268005371,-6.527444362640381,-4.957869052886963,-2.860302686691284,-4.161212921142578,-3.1164891719818115,-5.658182144165039,-5.7254533767700195,-5.7862868309021,-1.3920668363571167,-3.859804630279541,-5.8239216804504395,-6.254995346069336,-7.247359752655029,-5.146027565002441,-8.430688858032227,-5.2904486656188965,-6.258786201477051,-6.627920150756836,-4.322682857513428,-4.321181774139404,-8.012682914733887,-4.2305426597595215,-6.302522659301758,-5.37570858001709,-0.5833469033241272,-7.241952419281006,-0.5018644332885742
DOROTHY,"Oh -- oh, the poor little things. Oh,
             but Aunt Em, Miss Gulch hit Toto right
             over the back with a rake just because
             she says he gets in her garden and chases
             her nasty old cat every day.",-0.200297619047619,[-0.4648289  0.4594373],[ 1.0902005 -1.1541263],0.1096135377883911,-6.168608665466309,-5.736019611358643,-4.399101257324219,-3.1462466716766357,-4.781276702880859,-5.318737983703613,-6.638482093811035,-6.298514366149902,-6.2575364112854,-2.563760280609131,-4.944331645965576,-4.318130970001221,-5.567016124725342,-7.179017543792725,-5.163448810577393,-7.882164478302002,-4.588033199310303,-6.345192909240723,-6.5101470947265625,-5.918567657470703,-6.567256450653076,-7.827972412109375,-4.393329620361328,-6.8431525230407715,-5.788185119628906,-0.06426149606704712,-6.247621536254883,0.25460705161094666
AUNT EM,"Seventy --     Dorothy, please!",0.0,[0.34021574 0.13318387],[ 1.758212  -1.7723961],0.088934302330017,-6.064014434814453,-5.979920387268066,-5.827529430389404,-5.061066150665283,-4.678986072540283,-5.651594638824463,-5.984785079956055,-5.414861679077148,-4.002800941467285,-6.210418224334717,-6.89210844039917,-6.2865142822265625,-7.439051151275635,-4.048417568206787,-6.116361618041992,-6.313117980957031,-7.430728435516357,-4.8899030685424805,-5.770594596862793,-7.167943000793457,-5.435290813446045,-7.407276630401611,-5.885602951049805,-7.345606327056885,-7.604265213012695,-6.102931976318359,-6.279078483581543,2.546830177307129
