Unnamed: 0,Name,Movie,Line,Sentiment,Irony,Hate,Intimacy
0,Toomes,spider_man_homecoming.txt,"Things are never gonna be the same now. I mean, look at this. You got aliens. You got big green guys tearing down buildings. When I was a kid, I used to draw cowboys and Indians.",-0.1336111111111111,[ 0.5870661  -0.07302091],[ 0.5655712  -0.62122136],0.08947312831878662
1,Mason,spider_man_homecoming.txt,"Actually, it's Native American, but whatever.",0.0,[ 0.8383784  -0.19541317],[ 1.3453048 -1.2716256],0.032976746559143066
2,Toomes,spider_man_homecoming.txt,"Yeah. Tell you what, though. It ain't bad, is it?",-0.6999999999999998,[ 1.8679178 -1.0785129],[ 1.6446753 -1.6411664],0.12545146048069
3,Mason,spider_man_homecoming.txt,No. Yeah. Kid's got a future.,0.0,[ 1.0670996  -0.46628225],[ 1.5156572 -1.5131589],0.04940235614776611
4,Toomes,spider_man_homecoming.txt,"Yeah, well... We'll see, I guess.",0.0,[ 0.6782687  -0.13507557],[ 1.293878 -1.202584],0.03298613429069519
5,Toomes,spider_man_homecoming.txt,"No, hey! Uh-uh! You can't saw through that stuff. These alien bastards are tough. You gotta use the stuff they use.",-0.3194444444444444,[ 1.569388  -0.8682273],[ 0.01818868 -0.04057689],0.1055404543876648
6,Toomes,spider_man_homecoming.txt,See?,0.0,[ 1.4000127 -0.5034617],[ 1.2721026 -1.2089504],0.028462916612625122
7,Schultz,spider_man_homecoming.txt,All right.,0.2857142857142857,[-0.09701471  0.7379628 ],[ 1.2309374 -1.1301627],0.08108201622962952
8,Toomes,spider_man_homecoming.txt,"All right. (to Brice) Oh, hey! Glad you could join us. Afternoon.",0.4285714285714285,[ 1.1086663  -0.47718903],[ 1.7552775 -1.7902745],0.15483273565769196
9,Brice,spider_man_homecoming.txt,Yeah. My alarm didn't go off.,0.0,[0.02377949 0.38615718],[ 1.5993396 -1.5517429],0.04454755783081055
10,Toomes,spider_man_homecoming.txt,"Yeah, yeah, yeah, your alarm. Look, just go stack that armor plating like I asked you. This is a huge deal for us.",0.4000000000000001,[-0.68085253  0.996287  ],[ 1.6415765 -1.6127685],0.1000700294971466
11,Toomes,spider_man_homecoming.txt,Who the hell are you?,0.0,[ 2.25627   -1.2626255],[ 1.2127904 -1.284384 ],0.12279698252677917
12,Toomes,spider_man_homecoming.txt,"Look, I have a city contract to salvage all this, okay, with the city, so-",0.5,[ 1.1593397  -0.57535946],[ 2.0686722 -2.0291154],0.02441433072090149
13,Toomes,spider_man_homecoming.txt,"Ma'am, what am I- Please. Come here. Hey, lady, come on. Look... I bought trucks for this job. I brought in a whole new crew. These guys have a family. I have a family. I'm all in on this. I could lose my house.",0.1681818181818181,[ 1.989205  -1.1897498],[ 0.9376852  -0.74174047],0.16137957572937012
14,Toomes,spider_man_homecoming.txt,What'd you say?,0.0,[ 2.3314173 -1.3162483],[ 1.6695278 -1.5878042],0.11454486846923828
15,Toomes,spider_man_homecoming.txt,"Yeah, he's right. I overextended myself.",0.2857142857142857,[ 0.7912732 -0.1725415],[ 1.6155721 -1.574287 ],0.17577877640724182
