Name,Line,Sentiment,Irony,Hate,Intimacy,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
BRUNO,"(smiling with sudden
               recognition)
          I beg your pardon, but aren't you
          Guy Haines.

Guy nods with a polite half smile. Being a well known
tournament tennis player, he has had this sort of experience
before.",0.0444444444444444,[ 0.6038292  -0.07808592],[ 2.0250666 -2.0810614],0.1015237271785736,-4.151075839996338,-5.751740455627441,-6.925178050994873,-5.163834571838379,-1.775280475616455,-4.644679069519043,-4.542150974273682,-3.8391764163970947,-5.954702854156494,-6.39944314956665,-5.974859714508057,-7.053635597229004,-7.044370174407959,-5.128231525421143,-7.30238151550293,-4.84867000579834,-7.310037136077881,-3.925985097885132,-7.111351013183594,-7.232997894287109,-4.947492599487305,-6.017645359039307,-4.530789375305176,-5.2877302169799805,-6.727552890777588,-6.3099470138549805,-6.345634460449219,0.9273998141288757
BRUNO,"(snapping his finger)
          Sure! I saw you blast Faraday right
          off the court in South Orange last
          season. What a backhand! Made the
          semi-finals, didn't you?

Guy acknowledges this with a modest nod and turns to his
magazine rolled up in is fist.",0.2526785714285714,[ 0.47836486 -0.07407668],[ 1.7002951 -1.7393179],0.1122174263000488,-3.5128016471862793,-5.954211235046387,-6.7805891036987305,-5.48441743850708,-0.6338800191879272,-6.469576835632324,-3.212657928466797,-1.5451958179473877,-6.334022045135498,-6.663774013519287,-5.956479549407959,-7.349250316619873,-7.938478469848633,-3.789473533630371,-7.127457141876221,-7.59380578994751,-8.260778427124023,-5.216233253479004,-5.947754859924316,-7.438485145568848,-4.7900872230529785,-7.332103729248047,-3.988004207611084,-6.967728614807129,-8.284219741821289,-7.443509101867676,-4.870001792907715,-0.15829502046108246
BRUNO,"(with open admiration)
          I certainly admire people who do
          things.
              (smiling and
               introducing himself)
          I'm Bruno Anthony. Bruno. See Guy
          looks up. Bruno indicates his gold
          tie pin which bears his name in cut-
          out letters. Guy looks at it with
          the faintest expression of disdain.
          I suppose you think it's corny. But
          my mother gave it to me so of course
          I wear it to please her.",0.1071428571428571,[ 0.59163696 -0.34874836],[ 1.7069057 -1.915809 ],0.1121093779802322,-3.0645766258239746,-5.588236331939697,-5.67503023147583,-3.4942991733551025,-2.5555641651153564,-6.848991394042969,-5.976099967956543,-6.415901184082031,-7.698239803314209,-5.127500057220459,-4.234442234039307,-5.542135238647461,-6.568408489227295,-6.460230350494385,-7.103308200836182,-6.677167892456055,-8.144911766052246,-6.52755069732666,-7.710156440734863,-8.468880653381348,-5.870019912719727,-6.693853378295898,-4.382177829742432,-7.326108455657959,-8.26832103729248,-7.029506206512451,-7.0863447189331055,1.7469770908355713
GUY,"(patiently)(a faint
               smile)
          How do you do.",-0.1,[ 1.2617816 -0.7923603],[ 1.9661881 -1.9573795],0.0931163430213928,-5.765695095062256,-4.97730827331543,-5.874835968017578,-4.963016033172607,-4.229552268981934,-5.16357946395874,-2.9526443481445312,-0.672808051109314,-6.292086124420166,-6.62423849105835,-6.3808913230896,-7.237174034118652,-7.571946620941162,-5.200778961181641,-6.509045600891113,-7.8639750480651855,-7.850473880767822,-5.519402980804443,-6.164115905761719,-7.163769245147705,-5.218583583831787,-8.930137634277344,-5.704886436462402,-7.902029037475586,-7.903068542480469,-6.495899677276611,-5.505132675170898,0.9422963857650757
BRUNO,"(with an apologetic
               grin)
          I don't usually talk so much.   Go
          Ahead and read.",-0.0249999999999999,[0.15863207 0.13284627],[ 1.8384019 -1.8060392],0.0912560522556305,-6.991437911987305,-3.582731008529663,-5.552139759063721,-3.5634210109710693,-4.053493499755859,-5.873500347137451,-6.249075889587402,-6.987668037414551,-7.50288724899292,-4.701405048370361,-3.5503318309783936,-6.729617118835449,-5.97881555557251,-6.9450764656066895,-7.0792131423950195,-7.553824424743652,-7.38857364654541,-4.712718486785889,-7.836804389953613,-7.142888069152832,-5.89031457901001,-7.471779823303223,-3.9529178142547607,-6.50796365737915,-6.910194396972656,-5.251184463500977,-7.298788070678711,1.9665825366973877
GUY,"(wryly)
          Thanks.
Guy tries to read but is uneasily aware of Bruno's open
appraisal.",0.0875,[-0.790263   1.0750222],[ 2.069867  -2.1376328],0.0917776226997375,-5.412548065185547,-5.637956619262695,-6.775153160095215,-5.2028069496154785,-3.9223151206970215,-6.403308868408203,-5.738011360168457,-6.383549690246582,-7.530498027801514,-6.538111209869385,-5.78043794631958,-6.792773723602295,-7.3174662590026855,-6.795414447784424,-7.834187030792236,3.614865303039551,-7.97456169128418,-6.186214447021484,-6.855954170227051,-8.86404800415039,-5.926600456237793,-7.845178604125977,-5.102677345275879,-6.617857456207275,-6.534035682678223,-6.369781494140625,-7.228583812713623,-3.4840617179870605
BRUNO,"It must be pretty exciting to be so
          important.",0.3166666666666667,[-1.6253814  1.6156625],[ 1.8690038 -1.814784 ],0.0947412550449371,-3.050229072570801,-4.892463684082031,-6.4489216804504395,-5.5490031242370605,-2.669063091278076,-5.282105445861816,-4.9586992263793945,-2.8948585987091064,-4.001973628997803,-6.4519476890563965,-5.816359043121338,-6.4435319900512695,-7.094290256500244,1.3232017755508423,-5.576813220977783,-5.707768440246582,-7.566290378570557,-3.171329975128174,-4.730743408203125,-5.659688949584961,-4.366339206695557,-6.268090724945068,-5.311154365539551,-6.2375969886779785,-7.4946770668029785,-6.3946733474731445,-4.457014083862305,-2.948223114013672
GUY,"(fidgeting slightly)
          A tennis player isn't so important.",0.1166666666666666,[-0.14421453  0.55903685],[ 1.7295341 -1.643449 ],0.0918147563934326,-6.438108921051025,-6.219162940979004,-4.789584636688232,-2.5879499912261963,-3.180990219116211,-6.629833698272705,-4.289298057556152,-5.8115386962890625,-7.810237407684326,-4.7917799949646,-1.5674073696136475,-6.6265363693237305,-7.188381671905518,-7.285545349121094,-7.662654399871826,-8.23061752319336,-8.44861888885498,-6.776726722717285,-8.01023006439209,-7.841281890869141,-6.337775707244873,-8.528971672058105,-4.028502464294434,-7.9712910652160645,-8.932120323181152,-6.794198513031006,-6.867652416229248,1.1145682334899902
BRUNO,"People who do things are important.
          I never seem to do anything.

Not knowing how to answer this, Guy looks a little
embarrassed.",0.10625,[-0.59108764  0.9116545 ],[ 2.153434  -2.1228774],0.0926885306835174,-5.168829917907715,-4.372586727142334,-4.628359317779541,-2.5494916439056396,-4.2338762283325195,-5.816396713256836,-3.5750951766967773,-4.09310245513916,-7.176729202270508,-1.5002613067626953,-3.40084171295166,-3.846712589263916,1.3788033723831177,-5.567598342895508,-4.0773210525512695,-6.6250786781311035,-5.555297374725342,-5.771241188049316,-6.4403839111328125,-4.534637451171875,-5.73908805847168,-5.5961384773254395,-2.9087536334991455,-5.6543288230896,-3.215421438217163,-3.673180341720581,-3.954133987426758,-1.7719730138778687
BRUNO,"(still insistent on
               being friendly)
          I suppose you're going to Southampton --
          for the doubles.",0.375,[ 0.47283602 -0.31071553],[ 1.8797356 -1.9489422],0.0939762890338897,-6.322283744812012,-5.951636791229248,-6.440454006195068,-5.165546894073486,-3.3924505710601807,-6.888732433319092,-4.675148010253906,-5.534992694854736,-7.299337387084961,-6.259537220001221,-5.473690509796143,-6.917617321014404,-7.943176746368408,-6.595822334289551,-7.0548624992370605,-7.880582809448242,-8.420153617858887,-6.719919681549072,-7.133600234985352,-8.220002174377441,-5.670511722564697,-8.607938766479492,-4.50086784362793,-8.247427940368652,-8.529783248901367,-6.859392166137695,-7.0737457275390625,2.7320358753204346
