Unnamed: 0,Name,Movie,Line,Sentiment,Irony,Hate,Intimacy
0,Vers,captain_marvel.txt,Can't sleep.,0.0,[ 1.3417286  -0.39300784],[ 1.4152566 -1.2958093],0.05515849590301514
1,Yon-Rogg,captain_marvel.txt,There are tabs for that.,0.0,[0.09317578 0.45658094],[ 1.5656387 -1.5282512],0.02573147416114807
2,Vers,captain_marvel.txt,"Yeah, but then I'd be sleeping.",0.0,[ 0.9931153  -0.29375187],[ 1.3163303 -1.2302364],0.08741596341133118
3,Yon-Rogg,captain_marvel.txt,Dreams again?,0.0,[ 1.2819821 -0.7283287],[ 1.8824941 -1.599785 ],0.029703080654144287
4,Vers,captain_marvel.txt,Wanna fight?,0.0,[ 1.9199158 -1.0774909],[ 1.2607627 -1.4234742],0.03453800082206726
5,Vers,captain_marvel.txt,I slipped.,0.0,[ 0.70949733 -0.0390355 ],[ 1.4472471 -1.3806614],0.06176680326461792
6,Yon-Rogg,captain_marvel.txt,Right. You slipped as a result of me punching you in the face.,0.2857142857142857,[ 1.1964622  -0.54289275],[ 1.1939155 -1.1586105],0.17754529416561127
7,Vers,captain_marvel.txt,I was already slipping when you happened to punch me in the face. The two events are not related.,-0.05,[ 1.8009603 -1.0877172],[ 1.6426175 -1.6053338],0.09639996290206909
8,Yon-Rogg,captain_marvel.txt,Anything new?,0.1363636363636363,[ 2.1249404 -1.2504989],[ 1.625489  -1.5946227],0.027744710445404053
9,Vers,captain_marvel.txt,No.,0.0,[ 1.1156424 -0.377345 ],[ 0.848548 -0.758422],0.026728183031082153
10,Yon-Rogg,captain_marvel.txt,You've got to let go of your past.,-0.25,[ 1.3313636  -0.46962526],[ 1.6784059 -1.6000826],0.16769371926784515
11,Yon-Rogg,captain_marvel.txt,"It's causing you doubt, and doubt makes you vulnerable.",-0.5,[ 0.99084073 -0.42304444],[ 1.9173995 -1.8110474],0.12631440162658691
12,Yon-Rogg,captain_marvel.txt,Control it.,0.0,[0.10717741 0.45855024],[ 1.1507275  -0.98879695],0.04983037710189819
13,Yon-Rogg,captain_marvel.txt,Lose control again and you'll have to convene with the Supreme Intelligence. There is nothing more dangerous to a warrior than emotion.,-0.0499999999999999,[ 1.2814698 -0.6068088],[ 1.3964986 -1.4373412],0.05261543393135071
14,Yon-Rogg,captain_marvel.txt,Humor is a distraction. And anger? Anger only serves the enemy.,-0.4666666666666666,[ 1.1203688  -0.48194602],[ 1.2671825 -1.2146524],0.04354056715965271
15,Vers,captain_marvel.txt,Has anybody seen what the Supreme Intelligence really looks like?,0.2,[ 1.469717  -0.7637358],[ 1.7371454 -1.7430071],0.033631354570388794
16,Yon-Rogg,captain_marvel.txt,"No-one can look upon the Supreme Intelligence in its true form. You know that. Our subconscious chooses the way they appear to us. So it's sacred, it's personal. The Kree divulges it ever.",0.1166666666666666,[ 1.7289342 -1.0457304],[ 1.5694383 -1.5407635],0.0648500919342041
17,Vers,captain_marvel.txt,Who do you see? Your brother?,0.0,[ 2.1732318 -1.3980995],[ 1.6531204 -1.7773474],0.16108179092407227
18,Yon-Rogg,captain_marvel.txt,No.,0.0,[ 1.1156424 -0.377345 ],[ 0.848548 -0.758422],0.026728183031082153
19,Vers,captain_marvel.txt,Father?,0.0,[ 1.4737633 -0.5877843],[ 1.5353731 -1.4712232],0.080270916223526
20,Vers,captain_marvel.txt,Your old commander?,0.1,[ 1.5426118  -0.73044145],[ 1.7578412 -1.7684189],0.09823286533355713
21,Yon-Rogg,captain_marvel.txt,Vers...,0.0,[0.57336843 0.05796251],[ 1.1268356 -1.0734862],0.028760164976119995
22,Vers,captain_marvel.txt,(smug),0.0,[ 1.721973  -0.7707761],[ 1.1105412 -1.1460118],0.024967491626739502
23,Vers,captain_marvel.txt,(laughing),0.0,[0.81513816 0.07677364],[ 1.0107096 -0.8799908],0.09499579668045044
24,Yon-Rogg,captain_marvel.txt,Yes. But you won't succeed in changing my mind on the subject.,-0.1666666666666666,[ 1.9168637 -1.1767765],[ 1.5178902 -1.4028643],0.10044270753860474
25,Vers,captain_marvel.txt,What is the point of giving me these [gestures to her hands] if you don't want me to use them?,0.0,[ 1.8215014 -1.244542 ],[ 1.1973082 -1.3566493],0.1758318990468979
26,Yon-Rogg,captain_marvel.txt,You're going to use them. The Supreme Intelligence made me the responsibility of showing you how to use them.,0.0,[ 0.65832114 -0.0329953 ],[ 1.4438739 -1.3295326],0.08149054646492004
27,Vers,captain_marvel.txt,I know how.,0.0,[ 1.0209726  -0.06750643],[ 1.5238622 -1.3167435],0.05377510190010071
28,Yon-Rogg,captain_marvel.txt,"Well if that were true, you'd knock me down without them.",0.0972222222222222,[ 1.1725684  -0.43089044],[ 1.3046182 -1.2332488],0.1407398283481598
29,Yon-Rogg,captain_marvel.txt,"Control your impulses. Stop using this [points to her chest, above her heart] and start using this [gestures towards her head]. I need you to be the best version of yourself.",0.5,[ 1.6096267 -1.0549445],[ 1.0716151 -1.1303035],0.1695518046617508
30,Supreme Intelligence,captain_marvel.txt,Vers.,0.0,[ 0.6373272  -0.05781407],[ 0.8025179  -0.73050445],0.026037752628326416
31,Vers,captain_marvel.txt,Intelligence.,0.0,[0.34034926 0.42610866],[ 1.0412891  -0.98756045],0.03197053074836731
32,Supreme Intelligence,captain_marvel.txt,Your commander insists that you're fit to serve.,0.4,[-0.6148586  1.1815993],[ 1.6110063 -1.6803788],0.1199415922164917
33,Vers,captain_marvel.txt,I am.,0.0,[ 1.4863999 -0.6114007],[ 1.2464242 -1.1461014],0.1089407205581665
34,Supreme Intelligence,captain_marvel.txt,"You struggle with your emotions, with your past which fuels them.",-0.25,[ 0.98718953 -0.46627527],[ 2.1521366 -1.8783582],0.16133248805999756
35,Supreme Intelligence,captain_marvel.txt,You are just one victim of the Skrull expansion that has threatened our civilisation for centuries. Imposters who silently infiltrate then take over our planets.,-0.0375,[-0.32662162  0.6986671 ],[ 0.49561095 -0.67700684],0.06918486952781677
36,Supreme Intelligence,captain_marvel.txt,Horrors which you remember and so much which you do not.,0.2,[ 1.004329   -0.50110626],[ 2.211364  -1.9052558],0.04070010781288147
37,Vers,captain_marvel.txt,It's all... blank. My life. You're supposed to take the form of you I most admire but I don't even remember who this person was to me.,0.25,[ 1.8842305 -1.1403445],[ 2.0549629 -2.1075227],0.17209136486053467
38,Supreme Intelligence,captain_marvel.txt,"Perhaps this is a mercy, sparing you from a deeper pain. Freeing you to do what all Kree must. Put your people's needs before your own. We've given you a great gift, a chance to fight for the good of all Kree.",0.6999999999999998,[ 1.6074429 -0.857398 ],[ 2.0827506 -2.1809158],0.1757904291152954
39,Vers,captain_marvel.txt,I want to serve.,0.0,[0.55605996 0.23098421],[ 1.6573333 -1.6205351],0.1479865312576294
40,Supreme Intelligence,captain_marvel.txt,Then master yourself; what was given can be taken away.,0.0,[ 1.7337694 -1.0897715],[ 1.852419 -1.813241],0.09220141172409058
41,Vers,captain_marvel.txt,I won't let you down.,-0.1555555555555555,[ 1.2667098 -0.5095944],[ 1.4986538 -1.4235095],0.17753270268440247
42,Supreme Intelligence,captain_marvel.txt,We'll know soon enough. You have a mission. Serve well and with honor.,0.0,[ 1.6942776  -0.79160464],[ 1.7961448 -1.6719052],0.17221876978874207
43,Vers,captain_marvel.txt,Why?,0.0,[ 1.8556874 -0.9093038],[ 1.1259345 -1.0720764],0.06853637099266052
44,Vers,captain_marvel.txt,Well maybe if you were more attractive then it would be less disturbing.,0.1583333333333333,[-0.176626   0.4420133],[ 1.0000739  -0.95734125],0.1328766942024231
45,Yon-Rogg,captain_marvel.txt,Listen up team! Knock it off (pointing at Carol).,0.0,[ 0.89320534 -0.22001722],[ 0.999666 -0.954532],0.019803673028945923
46,Yon-Rogg,captain_marvel.txt,"Alright, prepare for a search and rescue of our spy, Soh-Larr. The Skrulls have invaded yet another border planet, this time Torfa. Soh-Larr sent a warning signal, which we've intercepted, that his cover's blown. The Skrull General Talos has sent kill units to find him. Should they reach him before we do, the intelligence he has acquired over three years is as good as theirs. The accusors will bomb a Skrull stronghold here in the south. We slip in, we locate Soh-Larr and we get out, leaving them none the wiser. The Torfa populace; we are not to interfere with them nor them with us. Nothing compromises the security of our mission. Proceed with caution. Follow protocol before extracting him.",0.375,[ 1.7378237 -1.1465625],[ 0.8304919 -1.1697868],0.058340251445770264
